ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status
0-7868-1360-1,Celebrate America: In Poetry and Art,"Panzer, Nora",Hyperion Books for Children,96,1999-07-04,,Paperback,"More than fifty works by America's finest poets are offered with a framework of paintings, sculpture, and photographs from the collection of the National Museum of American Art, Smithsonian Institution. Among the noted poets and artists included in this beautiful volume are Maya Angelou, Robert Frost, Nikki Giovanni, Langston Hughes, Li-Young Lee, Winslow Homer, William H. Johnson, Larry Yanez, and Malcah Zeldis. Together the poetry and art extol the beauty of the American landscape, reveal the wide-ranging cultural makeup of its citizenry, and impart a lively and honest understanding of how Americans have come to see their country and themselves.

                        <p>A collection of American poetry that celebrates over 200 years of American life and history as illustrated by fine art from the collection of the National Museum of American Art.
</p>",en,,"Height: 10 Inches, Length: 8 Inches, Weight: 0.8 Pounds, Width: 0.375 Inches",12.99,https://images.isbndb.com/covers/36/05/9780786813605.jpg,Success
1-58005-023-9,Climbing High: A Woman's Account of Surviving the Everest Tragedy,"Gammelgaard, Lene",Seal Press,264,1999-06-09,,Hardcover,Lene Gammelgaard.,en,,"Height: 9.25 Inches, Length: 6.25 Inches, Weight: 1.15 Pounds, Width: 0.75 Inches",25,https://images.isbndb.com/covers/02/34/9781580050234.jpg,Success
0-451-19547-7,Secrets of the Ancient Goddess,"Smith, Brenda Gates",Signet,352,1999-02-01,,Paperback,"In the prehistoric land of what is now Turkey, the young beautiful mate of the high priest of the Goddess is exiled from her people for giving birth to her second deformed son. In order to survive, she must help the high priest in his scheme to abduct a priestess from a band of nomadic traders. This is the triumphant story of two women--one who finds honor within another culture, and the other who endures to return home after a brutal separation.",en,,"Height: 6.75 Inches, Length: 4.25 Inches, Weight: 0.4 Pounds, Width: 1 Inches",6.99,https://images.isbndb.com/covers/54/70/9780451195470.jpg,Success
0-313-29963-3,Daring to Find Our Names: The Search for Lesbigay Library History (Beta Phi Mu Monograph Series),"Carmichael, James V.",Holtzbrinck,272,1998-08-27,,Hardcover,"Introduction: Makeover Without A Mirror--a Face For Lesbigay Library History / James V. Carmichael, Jr. -- Finding Our Names: Theory, Problems, And Context -- Methodological Issues In Research With Lesbians, Gay Men, And Bisexuals / Caitlin Ryan, Judy Bradford -- A Lesbigay Gender Perplex: Sexual Stereotyping And Professional Ambiguity In Librarianship / Christine L. Williams -- Biographical Research On Lesbigay Subjects: Editing The Letters Of Lillian Smith / Margaret Rose Gladney -- A Closet Curtained By Circumspection: Doing Research On The Mccarthy Era Purge Of Gays From The Library Of Congress / Louise S. Robbins -- Queer Histories/queer Librarians: The Historical Development Of A Gay Monograph / Norman G. Kester -- Telling Our Names: The Pioneers -- Gays In Library Land: The Gay And Lesbian Task Force Of The American Library Association: The First Sixteen Years / Barbara Gittings -- A Personal Task Force Scrapbook: Incunabula, 1971-1972 And After / Kay Tobin Lahusen, Barbara Gittings -- Reclaiming A Founding / Israel D. Fishman -- Librarians As Cultural Enforcers / Janet Cooper -- The Gay, Lesbian, And Bisexual Task Force Of The American Library Association: A Chronology Of Activities, 1970-1995 / Cal Gough -- Saving Our Names: Lesbigay Library/archival Collections -- Archivists, Activists, And Scholars: Creating A Queer History / Brenda J. Marston -- Building A Home Of Our Own: The Construction Of The Lesbian Herstory Archives / Polly J. Thistlethwaite. Edited By James V. Carmichael, Jr. Includes Bibliographical References And Index.",en,,"Height: 9 Inches, Length: 5.999988 Inches, Weight: 1.34 Pounds, Width: 0.7499985 Inches",84,https://images.isbndb.com/covers/96/36/9780313299636.jpg,Success
0-8118-2423-3,Tokyo: A Certain Style,"Tsuzuki, Kyoichi",Chronicle Books,440,1999-09-01,,Paperback,"Ah, think of the serene gardens, tatami mats, Zen-inspired de<CARON>cor, sliding doors, and shoji screens of the typical Japanese home. Think again. <I>Tokyo&#58; A Certain Style</I>, the mini-sized decor book with a difference, shows how, for those living in one of the worlds most expensive and densely packed metropolises, closet-sized apartments stacked to the ceiling with gadgetry and CDs are the norm. Photographer Kyoichi Tsuzuki rode his scooter all over Tokyo snapping shots of how urban Japanese really live. Hundreds of photographs reveal the real Tokyo style&#58; microapartments, mini and modular everything, rooms filled to the rafters with electronics, piles of books and clothes, clans of remote controls, collections of sundry objets all crammed into a space where every inch counts. Tsuzuki introduces each tiny crash pad with a brief text about who lives there, from artists and students to professionals and couples with children. His entertaining captions to the hundreds of photographs capture the spirit and ingenuity required to live in such small quarters. This fascinating, voyeuristic look at modern life comes in a chunky, pocket-sized format-the perfect coffee table book for people with really small apartments.",en,First Edition,"Height: 5.70865 Inches, Length: 4.25196 Inches, Weight: 0.661386786 Pounds, Width: 0.74803 Inches",11.18,https://images.isbndb.com/covers/42/31/9780811824231.jpg,Success
1-57344-080-9,The Ultimate Guide to Pregnancy for Lesbians: Tips and Techniques from Conception Through Birth: How to Stay Sane and Take Care of Yourself,"Pepper, Rachel",Cleis Press,200,1999,"Pregnancy, Lesbian Mothers, Health And Hygiene",Paperback,"Written with humor and insight by a new mom who herself rode the conception roller coaster, The Ultimate Guide to Pregnancy for Lesbians will reassure you every step of the way - from you first ovulation kit right up to the first weeks after your baby's birth! Whether you are single or coupled, lesbian or bisexual (or even heterosexual), if you want to get pregnant without a male partner, The Ultimate Guide to Pregnancy for Lesbians will show you how!",en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.82452885988 Pounds, Width: 0 Inches",1.99,https://images.isbndb.com/covers/08/06/9781573440806.jpg,Success
0-452-28044-3,Great Books for African-American Children,"Toussaint, Pamela A.",Plume,240,1999-02-01,,Paperback,"By the time they finish high school, black children will have read countless books featuring white heroes and heroines. It's a common experience for young children to color these characters brown, wanting to see themselves as the protagonists of these stories. Yet there are many wonderful books by and about African Americans that portray them in a positive way, to build a child's self-esteem and to spur hopes, dreams, and imagination. <i>Great Books for African-American Children</i> lists 250 of these books, which provide uplifting and accurate images of African-American culture. Each entry includes:<br>
 * A one-paragraph review and plot description<br>
 * The value the book conveys<br>
 * The title and author's name, publisher, and price<br>
 Other special features include ""Explore This"" which has questions parents can ask their children about a particular story, and indexes of books by title, by author, and by the moral value each book teaches.",en,,"Height: 8.02 Inches, Length: 5.56 Inches, Weight: 0.54 Pounds, Width: 0.77 Inches",12.95,https://images.isbndb.com/covers/04/41/9780452280441.jpg,Success
0-684-83764-1,Party Crasher: A Gay Republican Challenges Politics as Usual,"Tafel, Richard",Simon & Schuster,256,1999-06-10,"Tafel, Richard, Republican Party (U.S. : 1854- ), Politicians, Politicians--United States--Biography, Gay politicians, Gay politicians--United States--Biography, Gay rights, Gay rights--United States, Politics and government, E840.8 .T34 1999, 305.9/0664/092 B",Hardcover,"In <i>Party Crasher: A Gay Republican Challenges Politics as Usual</i>, Richard Tafel, head of the Log Cabin Republicans, issues a challenge to some of America's most sacred political institutions. Using personal anecdotes as well as the stories of other gay and lesbian Republicans, Rich Tafel succeeds in humanizing the struggle he and others have undertaken in their efforts to have their party deal fairly with gays and gay issues, as well as their campaign to make gays aware of the benefits that can accrue from having political alliances with others besides traditional left-leaning Democrats. The book is laid out in three sections: ""Life,"" ""Liberty,"" and ""The Pursuit of Happiness."" In the part entitled ""Life,"" Tafel shows that gay political ideologies are a product of the rejection gays experience. The next section, ""Liberty,"" shows how those ideologies play themselves out in the course of day-to-day American politics, and Tafel warns of the dangers gays face in being taken for granted by the Democratic Party while being written off by the Republicans. In ""The Pursuit of Happiness,"" Tafel argues that political strategies alone aren't enough to advance the cause of gay rights - spiritual values and morals, he says, must be at the heart of the gay strategy. Here he challenges both those within the gay community who reject moral language and spirituality and those in organized religion - particularly those in his own Christian faith - who view sexuality simply as a matter of choice, and a choice to be condemned if it is not the straight and narrow.",en,First Edition,"Height: 9.75 Inches, Length: 6.5 Inches, Weight: 1.05 Pounds, Width: 1 Inches",25,https://images.isbndb.com/covers/76/42/9780684837642.jpg,Success
1-8548-9111-1,One Hand Tied Behind Us: The Rise of the Women's Suffrage Movement,"Liddington, Jill",Rivers Oram Press,372,2000-07-01,"Women's rights, Women's rights--Great Britain, Radicalism, Radicalism--Great Britain, Women--Suffrage, Women--Suffrage--England--Lancashire, Women labor union members, Women labor union members--England--Lancashire, HQ1597 .L53 2000, 324.623094276",Paperback,"Pt. 1. Working Women. I. Who Were The Radical Suffragists? Ii. Daily Life For Working Women. Iii. Nineteenth-century Lancashire. Iv. Women's Suffrage In Manchester. V. Weavers And Winders. Vi. Jobs Outside The Mill. Vii. Political Apprenticeship. Viii. Women And Socialism -- Pt. 2. The Campaign. Ix. Textile Workers And The Suffrage Campaign. X. The Pankhursts In Manchester. Xi. The Suffrage Movement's Split. Xii. Working Women As Suffragists. Xiii. The Debate With The Labour Party. Xiv. What Did You Do In The Great War? Jill Liddington And Jill Norris. Previous Ed. [i.e. 1st]: London : Virago, 1978. Includes Bibliographical References And Index.",en,3rd,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 1.0361726314 Pounds, Width: 1.25 Inches",19.5,https://images.isbndb.com/covers/11/12/9781854891112.jpg,Success
0-06-250272-7,Crossing to Avalon: A Woman's Midlife Quest for the Sacred Feminine,"Bolen M.D., Jean Shinoda",HarperSanFrancisco,303,2004-05-20,"Women Psychoanalysts, Biography, Women, Religious Life, Midlife Crisis, Religious Aspects, Grail, Goddess Religion, Pilgrims And Pilgrimages, Description And Travel",Paperback,"<p>A MIDLIFE QUEST FOR THE GRAIL AND THE GODDESS</p>
<p>Dr Jean Shinoda Bolen's extraordinary memoir celebrates the pilgrimage that heralded her spiritual awakening and leads readers down the path of self-discovery. In this account of her journey to Europe in search of the sacred feminine, she unveils the mythological significance of the midlife search for meaning and renewal.</p>
<p>""[Bolen] charts a path that will lead many readers to the heart of their own emotional and spiritual pilgrimages.""<br>
SAN FRANCISCO CHRONICLE BOOK REVIEW</p>
<p>""This wise and challenging work, the most personal of Jean Shinoda Bolen's books, is an absorbing often uncannily perceptive, and useful companion for the soul journeys of our time, which is 'The Time of the Goddess Returning.""'<br>
ALICE WALKER, author of 'The Color Purple'</p>
<p>""In 'Crossing to Avalon', Jean Shinoda Bolen turns her acute and brilliant eye toward the interconnectedness of women's mysteries, sacredness of the body, the effect of pilgrimage on soul, and deep feminine friendships.""<br>
CLARISSA PINKOLA ESTES, Ph.D., author of 'Women Who Run with the Wolves'</p>
<p>Jean Shinoda Bolen, M.D., is a Jungian analyst and clinical professor of psychiatry at the University of California, San Francisco. She is the author of 'Goddesses in Everywoman, Gods in Everyman,' and 'The Tao of Psychology.'</p>",en,Reprint,"Height: 8 Inches, Length: 5.25 Inches, Weight: 0.6062712205 Pounds, Width: 1 Inches",11.96,https://images.isbndb.com/covers/27/28/9780062502728.jpg,Success
0-8147-7486-5,"Another Self: Middle-Class American Women and Their Friends in the Twentieth Century (History of Emotions, 2)","Rosenzweig, Linda W.",NYU Press,238,1999-08-01,"Middle Class, Women's Studies - General & Miscellaneous",Hardcover,"<p>From nineteenth-century romantic friendships to childhood best friends and idealistic versions of feminist sisterhood, female friendship has been seen as an essential, sustaining influence on women's lives. Women are thought to have a special aptitude for making and keeping friends.</p><p>But notions of friendship are not constant-and neither are women's experiences of this fundamental form of connection. In <b>Another Self</b>, Linda W. Rosenzweig sheds light on the changing nature of white middle-class American women's relationships during the coming of age of modern America.</p><p>As the middle-class domesticity of the nineteenth century waned, a new emotional culture arose in the twentieth century and the intensely affectionate bonds between women of earlier decades were supplanted by new priorities: autonomy, careers, participation in an expanding consumer culture, and the expectation of fulfillment and companionship in marriage. An increased emphasis on heterosexual interactions and a growing stigmatization of close same-sex relationships fostered new friendship styles and patterns.</p><p>Drawing on a wide range of primary sources including diaries, journals, correspondence, and popular periodicals, Rosenzweig uncovers the complex and intricate links between social and cultural developments and women's personal experiences of friendship.</p>",en,First Edition,"Height: 9.01573 Inches, Length: 5.98424 Inches, Weight: 1.00089866948 Pounds, Width: 0.6874002 Inches",75,https://images.isbndb.com/covers/48/61/9780814774861.jpg,Success
